tika,output,sql
X-TIKA:digest:SHA256,sha256,VARCHAR(64)
X-TIKA:encrypted,encrypted,BOOLEAN
X-TIKA:origResourceName,orig_name,VARCHAR(512)
resourceName,name,VARCHAR(512)
X-TIKA:embedded_depth,embedded_depth,INTEGER
embeddedResourceType,embedded_type,VARCHAR(64)
X-TIKA:embedded_resource_path,embedded_path,VARCHAR(512)
Content-Length,length,BIGINT
mime-short,mime,VARCHAR(64)
Content-Type,mime_detailed,VARCHAR(64)
dcterms:created,created,TIMESTAMP
dcterms:modified,modified,TIMESTAMP
location,location,VARCHAR(64)
X-TIKA:EXCEPTION:container_exception,exception,VARCHAR(512)
X-TIKA:EXCEPTION:embedded_exception,embedded_exception,VARCHAR(512)
tika-eval:numAlphaTokens,num_alpha_tokens,BIGINT
tika-eval:lang,detected_lang,VARCHAR(12)
tika-eval:oov,oov,FLOAT
X-TIKA:content,text,VARCHAR(32000)
