tika,output
X-TIKA:digest:SHA256,sha256
X-TIKA:encrypted,encrypted
X-TIKA:origResourceName,orig_name
resourceName,name
X-TIKA:embedded_depth,embedded_depth
X-TIKA:embedded_resource_path,embedded_path
embeddedResourceType,embedded_type
Content-Length,length
Content-Type,mime
sf:pronom:mime,sf_mime
sf:pronom:format,sf_format
sf:pronom:version,sf_version
sf:pronom:id,sf_id
sf:pronom:basis,sf_basis
sf:errors,sf_errors
dcterms:modified,modified
location,location
X-TIKA:EXCEPTION:container_exception,exception
X-TIKA:EXCEPTION:embedded_exception,embedded_exception
tika-eval:numAlphaTokens,num_alpha_tokens
tika-eval:lang,detected_lang
tika-eval:oov,oov
xmpTPg:NPages,num_pages
pdf:totalUnmappedUnicodeChars,pdf_num_unmapped_unicode
pdf:overallPercentageUnmappedUnicodeChars,pdf_percent_unmapped_unicode
pdf:containsNonEmbeddedFont,pdf_non_embedded_font
pdf:containsDamagedFont,pdf_damaged_font
pdf:hasAcroFormFields,pdf_has_acroform
pdf:hasCollection,pdf_has_collection
pdf:hasMarkedContent,pdf_has_marked_content
pdf:hasXFA,pdf_has_xfa
pdf:hasXMP,pdf_has_xmp
pdf:PDFExtensionVersion,pdf_extension_version
pdf:PDFVersion,pdf_version
pdf:producer,pdf_producer
pdfa:PDFVersion,pdfa_version
pdfaid:conformance,pdfaid_conformance
pdfx:conformance,pdfx_conformance
xmp:CreatorTool,xmp_creator_tool
