tika,output,sql,tika,output,sql
X-TIKA:digest:SHA256,sha256,VARCHAR(64),X-TIKA:embedded_depth,embedded_depth,INTEGER
X-TIKA:encrypted,encrypted,BOOLEAN,X-TIKA:embedded_resource_path,embedded_path,VARCHAR(512)
X-TIKA:origResourceName,orig_name,VARCHAR(512),Content-Length,length,BIGINT
resourceName,name,VARCHAR(512),Content-Type,mime,VARCHAR(64)
X-TIKA:embedded_depth,embedded_depth,INTEGER,dcterms:modified,modified,timestamp
X-TIKA:embedded_resource_path,embedded_path,VARCHAR(512),pdf:hasAcroFormFields,has_acroform,BOOLEAN
Content-Length,length,BIGINT,pdf:hasCollection,has_collection,BOOLEAN
Content-Type,mime,VARCHAR(64),pdf:hasMarkedContent,has_marked_content,BOOLEAN
sf:pronom:mime,sf_mime,VARCHAR(64),pdf:hasXFA,has_xfa,BOOLEAN
sf:pronom:format,sf_format,VARCHAR(64),pdf:hasXMP,has_xmp,BOOLEAN
sf:pronom:version,sf_version,VARCHAR(64),pdf:PDFExtensionVersion,pdf_extension_version,VARCHAR(32)
sf:pronom:id,sf_id,VARCHAR(12),pdf:PDFVersion,pdf_version,VARCHAR(32)
sf:pronom:basis,sf_basis,VARCHAR(64),pdf:producer,producer,VARCHAR(128)
sf:errors,sf_errors,VARCHAR(512),pdfa:PDFVersion,pdfa_version,VARCHAR(32)
dcterms:modified,modified,TIMESTAMP,pdfaid:conformance,pdfaid_conformance,VARCHAR(12)
location,location,VARCHAR(64),pdfx:conformance,pdfx_conformance,VARCHAR(12)
X-TIKA:EXCEPTION:container_exception,exception,VARCHAR(512),resourceName,name,VARCHAR(512)
X-TIKA:EXCEPTION:embedded_exception,embedded_exception,VARCHAR(512),X-TIKA:digest:SHA256,sha256,VARCHAR(64)
tika-eval:numAlphaTokens,num_alpha_tokens,BIGINT,X-TIKA:EXCEPTION:container_exception,exception,VARCHAR(512)
tika-eval:lang,detected_lang,VARCHAR(12),X-TIKA:EXCEPTION:embedded_exception,embedded_exception,VARCHAR(512)
tika-eval:oov,oov,FLOAT,X-TIKA:origResourceName,orig_name,VARCHAR(512)
xmpTPg:NPages,num_pages,INTEGER,xmp:CreatorTool,creator_tool,VARCHAR(256)
pdf:totalUnmappedUnicodeChars,pdf_num_unmapped_unicode,INTEGER,xmpTPg:NPages,num_pages,INTEGER
pdf:overallPercentageUnmappedUnicodeChars,pdf_percent_unmapped_unicode,FLOAT,sf:errors,sf_errors,VARCHAR(1024)
pdf:containsNonEmbeddedFont,pdf_non_embedded_font,BOOLEAN,sf:pronom:basis,sf_basis,VARCHAR(1024)
pdf:containsDamagedFont,pdf_damaged_font,BOOLEAN,sf:pronom:format,sf_format,VARCHAR(128)
pdf:hasAcroFormFields,pdf_has_acroform,BOOLEAN,sf:pronom:id,sf_id,VARCHAR(32)
pdf:hasCollection,pdf_has_collection,BOOLEAN,sf:pronom:mime,sf_mime,VARCHAR(128)
pdf:hasMarkedContent,pdf_has_marked_content,BOOLEAN,sf:pronom:version,sf_version,VARCHAR(128)
pdf:hasXFA,pdf_has_xfa,BOOLEAN,location,location,VARCHAR(128)
pdf:hasXMP,pdf_has_xmp,BOOLEAN,,,
pdf:PDFExtensionVersion,pdf_extension_version,VARCHAR(32),,,
pdf:PDFVersion,pdf_version,VARCHAR(32),,,
pdf:producer,pdf_producer,VARCHAR(512),,,
pdfa:PDFVersion,pdfa_version,VARCHAR(32),,,
pdfaid:conformance,pdfaid_conformance,VARCHAR(12),,,
pdfx:conformance,pdfx_conformance,VARCHAR(12),,,
xmp:CreatorTool,xmp_creator_tool,VARCHAR(128),,,
