tika,output
Content-Length,length
Content-Type,mime
dcterms:modified,modified
pdf:hasAcroFormFields,has_acroform
pdf:hasCollection,has_collection
pdf:hasMarkedContent,has_marked_content
pdf:hasXFA,has_xfa
pdf:hasXMP,has_xmp
pdf:PDFExtensionVersion,pdf_extenstion_version
pdf:PDFVersion,pdf_version
pdf:producer,producer
pdfa:PDFVersion,pdf_version
pdfaid:conformance,pdfaid_conformance
pdfx:conformance,pdfx_conformance
resourceName,name
X-TIKA:digest:MD5,md5
X-TIKA:embedded_depth,embedded_depth
X-TIKA:embedded_resource_path,embedded_path
X-TIKA:EXCEPTION:container_exception,exception
X-TIKA:EXCEPTION:embedded_exception,
X-TIKA:origResourceName,orig_name
xmp:CreatorTool,creator_tool
xmpTPg:NPages,num_pages
